track_id,track_name,track_popularity,track_duration_ms,explicit_lyrics,release_date,danceability,energy,musical_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year
4G7J6r92RH3aRlTEJQER8A,Lugar Ao Sol - Ao Vivo | Acústico,52,219728,0,2017-04-28,0.648,0.946,10,-3.642,1,0.0588,0.607,1.15e-06,0.144,0.596,138.053,4,2017.0
5LCziivxQ5yZ0rAVpjJOvD,All The Small Things,5,171067,0,2020-12-16,0.442,0.9,0,-5.032,1,0.0529,0.0109,0.0,0.395,0.609,148.62,4,2020.0
55YCBz4tXI6IXvkTtNIzJL,What's My Age Again?,52,149413,1,2014-01-01,0.401,0.946,6,-7.115,1,0.0652,0.00641,0.00212,0.161,0.491,157.866,4,2014.0
4ULcmwakinBoXQqs2zKtbX,What's My Age Again?,48,149160,1,2017-08-25,0.382,0.96,6,-5.234,1,0.0811,0.00792,0.0022,0.209,0.439,157.795,4,2017.0
14IV6ycAWxurGj5KvHtNAT,California Dreamin',58,197147,0,2014-10-21,0.324,0.203,0,-12.948,0,0.0397,0.652,0.00109,0.106,0.198,207.423,4,2014.0
5gSYmTVASekarEoK4puiRD,Night And Day,65,278293,0,2017-05-05,0.49,0.121,5,-18.532,1,0.029,0.872,0.0808,0.122,0.256,103.683,4,2017.0
0oks4FnzhNp5QPTZtoet7c,Giorgio by Moroder,70,544627,0,2013-05-17,0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,4,2013.0
0dEIca2nhcxDUV8C5QkPYb,Give Life Back to Music,67,275387,0,2013-05-17,0.788,0.616,9,-10.671,0,0.0337,0.00286,0.549,0.0952,0.696,119.037,4,2013.0
7Bxv0WL7UC6WwQpk9TzdMJ,Within,65,228507,0,2013-05-17,0.702,0.297,10,-14.116,0,0.0317,0.894,0.485,0.103,0.0676,110.116,4,2013.0
3ctALmweZBapfBdFiIVpji,The Game of Love,64,322147,0,2013-05-17,0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,4,2013.0
0k1xMUwn9sb7bZiqdT9ygx,Beyond,63,290240,0,2013-05-17,0.716,0.648,8,-11.33,0,0.0337,0.367,0.485,0.368,0.789,104.022,4,2013.0
2KHRENHQzTIQ001nlP9Gdc,Contact,60,383627,0,2013-05-17,0.4,0.756,11,-8.423,0,0.0492,0.00282,0.753,0.0695,0.0924,123.828,4,2013.0
79koEJRtKOOGJ0VSAF3FMk,Motherboard,59,341653,0,2013-05-17,0.548,0.707,4,-14.902,0,0.0352,0.512,0.922,0.105,0.284,103.009,4,2013.0
6eFrdLR3Np9mtHxKpmipWE,Chucuchá,48,206960,0,2014-05-19,0.775,0.868,9,-5.665,0,0.04,0.323,0.00539,0.107,0.975,141.991,4,2014.0
1dgWTMoHwTUnQhOQ8SR5fV,American Kids,72,182960,0,2014-09-22,0.733,0.589,7,-7.37,1,0.1,0.0476,5.85e-06,0.0366,0.867,170.097,4,2014.0
6n6OQfBpCgzF9oEg8zhBN7,Get Along,71,199625,0,2018-07-27,0.632,0.804,7,-6.109,1,0.0503,0.101,0.0,0.17,0.35,92.456,4,2018.0
